 gene_ID gene_ID_1 gene_name gene_family
156 ENSMUSG00000050966 83557 Lin28a CSD
157 ENSMUSG00000063804 380669 Lin28b CSD
158 ENSMUSG00000068823 229663 Csde1 CSD
159 ENSMUSG00000001911 18032 Nfix CTF/NFI
160 ENSMUSG00000008575 18028 Nfib CTF/NFI
161 ENSMUSG00000028565 18027 Nfia CTF/NFI
162 ENSMUSG00000055053 18029 Nfic CTF/NFI
163 ENSMUSG00000023927 20230 Satb1 CUT
164 ENSMUSG00000029705 13047 Cux1 CUT
165 ENSMUSG00000042589 13048 Cux2 CUT
166 ENSMUSG00000043013 15379 Onecut1 CUT
167 ENSMUSG00000045518 246086 Onecut3 CUT
168 ENSMUSG00000045991 225631 Onecut2 CUT
169 ENSMUSG00000038331 212712 Satb2 CUT
170 ENSMUSG00000011349 71241 Dmrtc2 DM
171 ENSMUSG00000024837 50796 Dmrt1 DM
172 ENSMUSG00000028610 56296 Dmrtb1 DM
173 ENSMUSG00000042372 240590 Dmrt3 DM
174 ENSMUSG00000043753 242523 Dmrta1 DM
175 ENSMUSG00000047143 242620 Dmrta2 DM
176 ENSMUSG00000048138 226049 Dmrt2 DM
177 ENSMUSG00000014859 104394 E2f4 E2F
178 ENSMUSG00000016477 13557 E2f3 E2F
179 ENSMUSG00000018983 242705 E2f2 E2F
180 ENSMUSG00000020185 52679 E2f7 E2F
181 ENSMUSG00000027490 13555 E2f1 E2F
182 ENSMUSG00000027552 13559 E2f5 E2F
183 ENSMUSG00000032411 211586 Tfdp2 E2F
184 ENSMUSG00000038482 21781 Tfdp1 E2F
185 ENSMUSG00000046179 108961 E2f8 E2F
186 ENSMUSG00000057469 50496 E2f6 E2F
187 ENSMUSG00000002108 22259 Nr1h3 Ecdystd_receptor
188 ENSMUSG00000060601 22260 Nr1h2 Ecdystd_receptor
189 ENSMUSG00000002111 20375 Sfpi1 ETS
190 ENSMUSG00000003051 13710 Elf3 ETS
191 ENSMUSG00000003382 27049 Etv3 ETS
192 ENSMUSG00000004151 14009 Etv1 ETS
193 ENSMUSG00000004359 20728 Spic ETS
194 ENSMUSG00000006311 14008 Etv2 ETS
195 ENSMUSG00000008193 272382 Spib ETS
196 ENSMUSG00000008398 13713 Elk3 ETS
197 ENSMUSG00000008976 14390 Gabpa ETS
198 ENSMUSG00000009406 13712 Elk1 ETS
199 ENSMUSG00000012350 13661 Ehf ETS
200 ENSMUSG00000013089 104156 Etv5 ETS
201 ENSMUSG00000016087 14247 Fli1 ETS
202 ENSMUSG00000017724 18612 Etv4 ETS
203 ENSMUSG00000022895 23872 Ets2 ETS
204 ENSMUSG00000024215 30051 Spdef ETS
205 ENSMUSG00000026436 13714 Elk4 ETS
206 ENSMUSG00000027186 13711 Elf5 ETS
207 ENSMUSG00000030199 14011 Etv6 ETS
208 ENSMUSG00000031103 56501 Elf4 ETS
209 ENSMUSG00000032035 23871 Ets1 ETS
210 ENSMUSG00000036461 13709 Elf1 ETS
211 ENSMUSG00000037174 69257 Elf2 ETS
212 ENSMUSG00000040732 13876 Erg ETS
213 ENSMUSG00000040857 13875 Erf ETS
214 ENSMUSG00000047643 432800 Gm5454 ETS
215 ENSMUSG00000055197 260298 Fev ETS
216 ENSMUSG00000001517 14235 Foxm1 Fork_head
217 ENSMUSG00000002057 15218 Foxn1 Fork_head
218 ENSMUSG00000003154 60611 Foxj2 Fork_head
219 ENSMUSG00000020950 15228 Foxg1 Fork_head
220 ENSMUSG00000023991 74123 Foxp4 Fork_head
221 ENSMUSG00000029563 114142 Foxp2 Fork_head
222 ENSMUSG00000030067 108655 Foxp1 Fork_head
223 ENSMUSG00000032998 230700 Foxj3 Fork_head
224 ENSMUSG00000033713 71375 Foxn3 Fork_head
225 ENSMUSG00000033837 14106 Foxh1 Fork_head
226 ENSMUSG00000034227 15223 Foxj1 Fork_head
227 ENSMUSG00000034998 14236 Foxn2 Fork_head
228 ENSMUSG00000037025 15376 Foxa2 Fork_head
229 ENSMUSG00000038402 14238 Foxf2 Fork_head
230 ENSMUSG00000038415 15220 Foxq1 Fork_head
231 ENSMUSG00000039275 68837 Foxk2 Fork_head
232 ENSMUSG00000040891 15377 Foxa3 Fork_head
233 ENSMUSG00000042002 116810 Foxn4 Fork_head
234 ENSMUSG00000042812 15227 Foxf1a Fork_head
235 ENSMUSG00000042903 54601 Foxo4 Fork_head
236 ENSMUSG00000044167 56458 Foxo1 Fork_head
237 ENSMUSG00000044518 30923 Foxe3 Fork_head
238 ENSMUSG00000046714 14234 Foxc2 Fork_head
239 ENSMUSG00000047861 14233 Foxi1 Fork_head
240 ENSMUSG00000048377 270004 Foxi2 Fork_head
241 ENSMUSG00000048756 56484 Foxo3 Fork_head
242 ENSMUSG00000050295 17300 Foxc1 Fork_head
243 ENSMUSG00000050397 26927 Foxl2 Fork_head
244 ENSMUSG00000051490 14237 Foxd4 Fork_head
245 ENSMUSG00000052135 329934 Foxo6 Fork_head
246 ENSMUSG00000055210 17301 Foxd2 Fork_head
247 ENSMUSG00000055874 232077 Foxi3 Fork_head
248 ENSMUSG00000056493 17425 Foxk1 Fork_head
249 ENSMUSG00000056829 14240 Foxb2 Fork_head
250 ENSMUSG00000059246 64290 Foxb1 Fork_head
251 ENSMUSG00000067261 15221 Foxd3 Fork_head
252 ENSMUSG00000070990 110805 Foxe1 Fork_head
253 ENSMUSG00000071665 436240 Foxr2 Fork_head
254 ENSMUSG00000074397 382074 Foxr1 Fork_head
255 ENSMUSG00000074676 14239 Foxs1 Fork_head
256 ENSMUSG00000078302 15229 Foxd1 Fork_head
257 ENSMUSG00000039521 20371 Foxp3 Fork_head
258 ENSMUSG00000035451 15375 Foxa1 Fork_head
259 ENSMUSG00000021362 107889 Gcm2 GCM
260 ENSMUSG00000023333 14531 Gcm1 GCM
261 ENSMUSG00000024431 14815 Nr3c1 GCR
262 ENSMUSG00000015942 114674 Gtf2ird2 GTF2I
263 ENSMUSG00000023079 57080 Gtf2ird1 GTF2I
264 ENSMUSG00000060261 14886 Gtf2i GTF2I
265 ENSMUSG00000000567 20682 Sox9 HMG
266 ENSMUSG00000000782 21414 Tcf7 HMG
267 ENSMUSG00000002996 73389 Hbp1 HMG
268 ENSMUSG00000003923 21780 Tfam HMG
269 ENSMUSG00000005442 71722 Cic HMG
270 ENSMUSG00000016831 268741 Tox4 HMG
271 ENSMUSG00000020923 21429 Ubtf HMG
272 ENSMUSG00000022641 70508 Bbx HMG
273 ENSMUSG00000024176 20681 Sox8 HMG
274 ENSMUSG00000024622 106894 Hmgxb3 HMG
275 ENSMUSG00000024985 21416 Tcf7l2 HMG
276 ENSMUSG00000025902 20671 Sox17 HMG
277 ENSMUSG00000026098 227099 Pms1 HMG
278 ENSMUSG00000027067 20833 Ssrp1 HMG
279 ENSMUSG00000027985 16842 Lef1 HMG
280 ENSMUSG00000032329 66867 Hmg20a HMG
281 ENSMUSG00000033006 20665 Sox10 HMG
282 ENSMUSG00000034518 70823 Hmgxb4 HMG
283 ENSMUSG00000037572 218973 Wdhd1 HMG
284 ENSMUSG00000040489 214105 Sox30 HMG
285 ENSMUSG00000041287 20670 Sox15 HMG
286 ENSMUSG00000041540 20678 Sox5 HMG
287 ENSMUSG00000045179 20675 Sox3 HMG
288 ENSMUSG00000046470 20672 Sox18 HMG
289 ENSMUSG00000048686 69317 Hmgb4 HMG
290 ENSMUSG00000051910 20679 Sox6 HMG
291 ENSMUSG00000055799 21415 Tcf7l1 HMG
292 ENSMUSG00000057406 107823 Whsc1 HMG
293 ENSMUSG00000061517 223227 Sox21 HMG
294 ENSMUSG00000063060 20680 Sox7 HMG
295 ENSMUSG00000063632 20666 Sox11 HMG
296 ENSMUSG00000066551 15289 Hmgb1 HMG
297 ENSMUSG00000069036 21674 Sry HMG
298 ENSMUSG00000070643 20668 Sox13 HMG
299 ENSMUSG00000074502 546118 Ubtfl1 HMG
300 ENSMUSG00000074607 269389 Tox2 HMG
301 ENSMUSG00000074637 20674 Sox2 HMG
302 ENSMUSG00000076431 20677 Sox4 HMG
303 ENSMUSG00000054717 97165 Hmgb2 HMG
304 ENSMUSG00000043668 244579 Tox3 HMG
305 ENSMUSG00000042323 66923 Pbrm1 HMG
306 ENSMUSG00000041272 252838 Tox HMG
307 ENSMUSG00000037935 57376 Smarce1 HMG
308 ENSMUSG00000020232 15353 Hmg20b HMG
309 ENSMUSG00000015217 15354 Hmgb3 HMG
310 ENSMUSG00000046711 15361 Hmga1 HMGI/HMGY
311 ENSMUSG00000056758 15364 Hmga2 HMGI/HMGY
312 ENSMUSG00000078249 111241 Hmga1-rs1 HMGI/HMGY
313 ENSMUSG00000000247 16870 Lhx2 Homeobox
314 ENSMUSG00000000690 15414 Hoxb6 Homeobox
315 ENSMUSG00000000938 15395 Hoxa10 Homeobox
316 ENSMUSG00000000942 15401 Hoxa4 Homeobox
317 ENSMUSG00000001103 18292 Sebox Homeobox
318 ENSMUSG00000001493 17285 Meox1 Homeobox
319 ENSMUSG00000001496 21869 Nkx2-1 Homeobox
320 ENSMUSG00000001504 16372 Irx2 Homeobox
321 ENSMUSG00000001510 13393 Dlx3 Homeobox
322 ENSMUSG00000001566 15285 Mnx1 Homeobox
323 ENSMUSG00000001655 15422 Hoxc13 Homeobox
324 ENSMUSG00000001656 109663 Hoxc11 Homeobox
325 ENSMUSG00000001657 15426 Hoxc8 Homeobox
326 ENSMUSG00000001661 15425 Hoxc6 Homeobox
327 ENSMUSG00000001815 14029 Evx2 Homeobox
328 ENSMUSG00000001819 15433 Hoxd13 Homeobox
329 ENSMUSG00000001823 15432 Hoxd12 Homeobox
330 ENSMUSG00000005503 14028 Evx1 Homeobox
331 ENSMUSG00000006200 19202 Rhox6 Homeobox
332 ENSMUSG00000006270 22326 Vax1 Homeobox
333 ENSMUSG00000006705 18771 Pknox1 Homeobox
334 ENSMUSG00000007946 11859 Phox2a Homeobox
335 ENSMUSG00000008206 67260 Lass4 Homeobox
336 ENSMUSG00000012396 71950 Nanog Homeobox
337 ENSMUSG00000012520 18935 Phox2b Homeobox
338 ENSMUSG00000014603 11694 Alx3 Homeobox
339 ENSMUSG00000014704 15399 Hoxa2 Homeobox
340 ENSMUSG00000015579 18091 Nkx2-5 Homeobox
341 ENSMUSG00000015714 76893 Lass2 Homeobox
342 ENSMUSG00000018698 16869 Lhx1 Homeobox
343 ENSMUSG00000018973 15407 Hoxb1 Homeobox
344 ENSMUSG00000019230 16876 Lhx9 Homeobox
345 ENSMUSG00000020160 17268 Meis1 Homeobox
346 ENSMUSG00000020679 21410 Hnf1b Homeobox
347 ENSMUSG00000020871 13394 Dlx4 Homeobox
348 ENSMUSG00000020875 15417 Hoxb9 Homeobox
349 ENSMUSG00000021095 14836 Gsc Homeobox
350 ENSMUSG00000021099 20476 Six6 Homeobox
351 ENSMUSG00000021239 12677 Vsx2 Homeobox
352 ENSMUSG00000021381 12022 Barx1 Homeobox
353 ENSMUSG00000021469 17702 Msx2 Homeobox
354 ENSMUSG00000021506 18740 Pitx1 Homeobox
355 ENSMUSG00000021604 50916 Irx4 Homeobox
356 ENSMUSG00000021685 18420 Otp Homeobox
357 ENSMUSG00000021972 219150 Hmbox1 Homeobox
358 ENSMUSG00000022061 18095 Nkx3-1 Homeobox
359 ENSMUSG00000022361 22770 Zhx1 Homeobox
360 ENSMUSG00000022484 209448 Hoxc10 Homeobox
361 ENSMUSG00000022485 15424 Hoxc5 Homeobox
362 ENSMUSG00000022738 195333 Gsc2 Homeobox
363 ENSMUSG00000023021 71949 Lass5 Homeobox
364 ENSMUSG00000023391 13392 Dlx2 Homeobox
365 ENSMUSG00000023443 13984 Esx1 Homeobox
366 ENSMUSG00000024134 20472 Six2 Homeobox
367 ENSMUSG00000024518 19434 Rax Homeobox
368 ENSMUSG00000024619 12590 Cdx1 Homeobox
369 ENSMUSG00000024986 15242 Hhex Homeobox
370 ENSMUSG00000025215 21908 Tlx1 Homeobox
371 ENSMUSG00000025216 16814 Lbx1 Homeobox
372 ENSMUSG00000025229 18742 Pitx3 Homeobox
373 ENSMUSG00000025255 80892 Zfhx4 Homeobox
374 ENSMUSG00000025469 17703 Msx3 Homeobox
375 ENSMUSG00000026468 16872 Lhx4 Homeobox
376 ENSMUSG00000026497 27217 Mixl1 Homeobox
377 ENSMUSG00000026586 18933 Prrx1 Homeobox
378 ENSMUSG00000026686 110648 Lmx1a Homeobox
379 ENSMUSG00000026805 54422 Barhl1 Homeobox
380 ENSMUSG00000026890 16874 Lhx6 Homeobox
381 ENSMUSG00000026934 16871 Lhx3 Homeobox
382 ENSMUSG00000027035 241447 Lass6 Homeobox
383 ENSMUSG00000027102 15437 Hoxd8 Homeobox
384 ENSMUSG00000027210 17536 Meis2 Homeobox
385 ENSMUSG00000027434 18088 Nkx2-2 Homeobox
386 ENSMUSG00000027833 20429 Shox2 Homeobox
387 ENSMUSG00000028023 18741 Pitx2 Homeobox
388 ENSMUSG00000096225 16875 Lhx8 Homeobox
389 ENSMUSG00000028707 140477 Dmbx1 Homeobox
390 ENSMUSG00000029546 22255 Uncx Homeobox
391 ENSMUSG00000029595 16873 Lhx5 Homeobox
392 ENSMUSG00000029644 18609 Pdx1 Homeobox
393 ENSMUSG00000029646 12591 Cdx2 Homeobox
394 ENSMUSG00000029736 18291 Nobox Homeobox
395 ENSMUSG00000029754 13396 Dlx6 Homeobox
396 ENSMUSG00000029755 13395 Dlx5 Homeobox
397 ENSMUSG00000029844 15394 Hoxa1 Homeobox
398 ENSMUSG00000030507 13172 Dbx1 Homeobox
399 ENSMUSG00000030510 545975 Lass3 Homeobox
400 ENSMUSG00000031326 12592 Cdx4 Homeobox
401 ENSMUSG00000031621 71597 Isx Homeobox
402 ENSMUSG00000031734 16373 Irx3 Homeobox
403 ENSMUSG00000031737 54352 Irx5 Homeobox
404 ENSMUSG00000031738 64379 Irx6 Homeobox
405 ENSMUSG00000031860 80720 Pbx4 Homeobox
406 ENSMUSG00000032033 12023 Barx2 Homeobox
407 ENSMUSG00000032318 104360 Isl2 Homeobox
408 ENSMUSG00000033080 114889 Vsx1 Homeobox
409 ENSMUSG00000033726 13796 Emx1 Homeobox
410 ENSMUSG00000034384 104382 Barhl2 Homeobox
411 ENSMUSG00000034460 20474 Six4 Homeobox
412 ENSMUSG00000034486 14472 Gbx2 Homeobox
413 ENSMUSG00000034551 245596 Hdx Homeobox
414 ENSMUSG00000034673 18515 Pbx2 Homeobox
415 ENSMUSG00000034777 24113 Vax2 Homeobox
416 ENSMUSG00000034968 16815 Lbx2 Homeobox
417 ENSMUSG00000035187 18096 Nkx6-1 Homeobox
418 ENSMUSG00000035277 11878 Arx Homeobox
419 ENSMUSG00000035877 320799 Zhx3 Homeobox
420 ENSMUSG00000035934 208076 Pknox2 Homeobox
421 ENSMUSG00000035946 14843 Gsx2 Homeobox
422 ENSMUSG00000036139 15427 Hoxc9 Homeobox
423 ENSMUSG00000036144 17286 Meox2 Homeobox
424 ENSMUSG00000036602 216285 Alx1 Homeobox
425 ENSMUSG00000038203 15398 Hoxa13 Homeobox
426 ENSMUSG00000038210 15396 Hoxa11 Homeobox
427 ENSMUSG00000038227 15405 Hoxa9 Homeobox
428 ENSMUSG00000038236 15404 Hoxa7 Homeobox
429 ENSMUSG00000038253 15402 Hoxa5 Homeobox
430 ENSMUSG00000038692 15412 Hoxb4 Homeobox
431 ENSMUSG00000038700 15413 Hoxb5 Homeobox
432 ENSMUSG00000038718 18516 Pbx3 Homeobox
433 ENSMUSG00000038721 15415 Hoxb7 Homeobox
434 ENSMUSG00000038765 16917 Lmx1b Homeobox
435 ENSMUSG00000038805 20473 Six3 Homeobox
436 ENSMUSG00000038872 11906 Zfhx3 Homeobox
437 ENSMUSG00000039095 13799 En2 Homeobox
438 ENSMUSG00000039377 15284 Hlx Homeobox
439 ENSMUSG00000039476 20204 Prrx2 Homeobox
440 ENSMUSG00000040148 15373 Hmx3 Homeobox
441 ENSMUSG00000040310 11695 Alx4 Homeobox
442 ENSMUSG00000040610 27140 Tlx3 Homeobox
443 ENSMUSG00000040721 239102 Zfhx2 Homeobox
444 ENSMUSG00000040726 15209 Hesx1 Homeobox
445 ENSMUSG00000040841 20475 Six5 Homeobox
446 ENSMUSG00000041309 14912 Nkx6-2 Homeobox
447 ENSMUSG00000041420 17537 Meis3 Homeobox
448 ENSMUSG00000041578 12951 Crx Homeobox
449 ENSMUSG00000041583 252830 Obox6 Homeobox
450 ENSMUSG00000041730 107751 Prrxl1 Homeobox
451 ENSMUSG00000041911 13390 Dlx1 Homeobox
452 ENSMUSG00000042258 16392 Isl1 Homeobox
453 ENSMUSG00000042448 15429 Hoxd1 Homeobox
454 ENSMUSG00000101174 15436 Hoxd4 Homeobox
455 ENSMUSG00000042499 15431 Hoxd11 Homeobox
456 ENSMUSG00000043219 15403 Hoxa6 Homeobox
457 ENSMUSG00000043342 15438 Hoxd9 Homeobox
458 ENSMUSG00000043969 13797 Emx2 Homeobox
459 ENSMUSG00000044186 18092 Nkx2-6 Homeobox
460 ENSMUSG00000044220 18089 Nkx2-3 Homeobox
461 ENSMUSG00000044542 19127 Prop1 Homeobox
462 ENSMUSG00000045608 223843 Dbx2 Homeobox
463 ENSMUSG00000047407 21815 Tgif1 Homeobox
464 ENSMUSG00000048450 17701 Msx1 Homeobox
465 ENSMUSG00000048502 278672 Duxbl Homeobox
466 ENSMUSG00000048528 20231 Nkx1-2 Homeobox
467 ENSMUSG00000048763 15410 Hoxb3 Homeobox
468 ENSMUSG00000049604 15408 Hoxb13 Homeobox
469 ENSMUSG00000049691 12020 Nkx3-2 Homeobox
470 ENSMUSG00000050100 15372 Hmx2 Homeobox
471 ENSMUSG00000050328 15421 Hoxc12 Homeobox
472 ENSMUSG00000050368 15430 Hoxd10 Homeobox
473 ENSMUSG00000051038 194738 Rhox11 Homeobox
474 ENSMUSG00000051149 11538 Adnp Homeobox
475 ENSMUSG00000051367 20471 Six1 Homeobox
476 ENSMUSG00000051827 75199 Rhox2a Homeobox
477 ENSMUSG00000052534 18514 Pbx1 Homeobox
478 ENSMUSG00000053129 14842 Gsx1 Homeobox
479 ENSMUSG00000053909 434769 Rhox10 Homeobox
480 ENSMUSG00000054160 228731 Nkx2-4 Homeobox
481 ENSMUSG00000054310 71468 Obox1 Homeobox
482 ENSMUSG00000054360 244813 Bsx Homeobox
483 ENSMUSG00000055942 194588 Gm4745 Homeobox
484 ENSMUSG00000056648 15416 Hoxb8 Homeobox
485 ENSMUSG00000057156 239099 Homez Homeobox
486 ENSMUSG00000058665 13798 En1 Homeobox
487 ENSMUSG00000058669 18094 Nkx2-9 Homeobox
488 ENSMUSG00000059325 74318 Hopx Homeobox
489 ENSMUSG00000059626 382209 Rhox3a Homeobox
490 ENSMUSG00000060969 16371 Irx1 Homeobox
491 ENSMUSG00000061013 210719 Mkx Homeobox
492 ENSMUSG00000100133 245583 Tgif2lx1 Homeobox
493 ENSMUSG00000062175 228839 Tgif2 Homeobox
494 ENSMUSG00000100194 100039551 Tgif2lx2 Homeobox
495 ENSMUSG00000063672 74561 Nkx6-3 Homeobox
496 ENSMUSG00000096788 100040016 Rhox2e Homeobox
497 ENSMUSG00000064137 434768 Rhox8 Homeobox
498 ENSMUSG00000066772 246791 Obox3 Homeobox
499 ENSMUSG00000067438 15371 Hmx1 Homeobox
