Gene stable ID,Gene name
ENSGALG00000026744,OTP
ENSGALG00000042210,RABEPK
ENSGALG00000025822,CYP1B1
ENSGALG00000014863,TMEM267
ENSGALG00000007065,GJD4
ENSGALG00000016500,FKBP12.6
ENSGALG00000009473,EFCAB1
ENSGALG00000039772,RGS7
ENSGALG00000006673,POU2F3
ENSGALG00000007374,YPEL4
ENSGALG00000004044,CSRP3
ENSGALG00000038948,KDM5B
ENSGALG00000015779,PM20D2
ENSGALG00000016017,SLC4A11
ENSGALG00000003409,SOGA1
ENSGALG00000003789,FAM78A
ENSGALG00000037699,UVSSA
ENSGALG00000016495,KLHL29
ENSGALG00000033033,MEP1A
ENSGALG00000008591,CACNB2
ENSGALG00000042105,PLCB2
ENSGALG00000003645,PITPNM2
ENSGALG00000008625,ANAPC2
ENSGALG00000029996,PPP2R5C
ENSGALG00000002705,CISD1
ENSGALG00000016294,HMGCLL1
ENSGALG00000041685,CAPN1
ENSGALG00000016726,PTCHD4
ENSGALG00000029971,PGLYRP2
ENSGALG00000028376,FGF19
ENSGALG00000045617,BAALC
ENSGALG00000041993,UGDH
ENSGALG00000007217,BEST1
ENSGALG00000016254,OTC
ENSGALG00000038364,NOV
ENSGALG00000001373,TRAF3IP3
ENSGALG00000015089,GAP43
ENSGALG00000028982,CMPK2
ENSGALG00000011229,SERBP1
ENSGALG00000014692,LMNB1
ENSGALG00000000695,MFSD4A
ENSGALG00000034899,NKAIN3
ENSGALG00000006633,TMEM243
ENSGALG00000009848,LPGAT1
ENSGALG00000014152,KMT5B
ENSGALG00000010178,PUM3
ENSGALG00000035569,MC2R
ENSGALG00000017296,KLHL42
ENSGALG00000009822,TMEM206
ENSGALG00000037457,FOXI3
ENSGALG00000035453,RP9
ENSGALG00000009297,TELO2
ENSGALG00000001611,B3GAT1
ENSGALG00000010630,AHCTF1
ENSGALG00000008050,HBP1
ENSGALG00000002548,TLN1
ENSGALG00000003314,RILPL1
ENSGALG00000035901,GDF6
ENSGALG00000014428,TAPBPL
ENSGALG00000009249,UBR1
ENSGALG00000012594,NTRK2
ENSGALG00000001452,ATP5F1
ENSGALG00000010029,BEST3
ENSGALG00000013999,FBXO40
ENSGALG00000013207,CTNNAL1
ENSGALG00000016348,SAT1
ENSGALG00000014453,FAM46C
ENSGALG00000033254,SPAG1
ENSGALG00000040005,PPP2R5D
ENSGALG00000008337,SLC8B1
ENSGALG00000010734,PPP4R3A
ENSGALG00000003674,DHTKD1
ENSGALG00000013168,IAPP
ENSGALG00000036219,STK35
ENSGALG00000010692,LRP8
ENSGALG00000001405,IRF6
ENSGALG00000041103,SLC18A3
ENSGALG00000009073,PSEN2
ENSGALG00000011889,PRKCH
ENSGALG00000037195,TALDO1
ENSGALG00000041326,5S_rRNA
ENSGALG00000031863,MCMDC2
ENSGALG00000015285,TOMM70
ENSGALG00000011162,CYP46A1
ENSGALG00000033304,MYBL1
ENSGALG00000016653,FAM167A
ENSGALG00000038067,5S_rRNA
ENSGALG00000042049,5S_rRNA
ENSGALG00000041630,NFIX
ENSGALG00000042712,5S_rRNA
ENSGALG00000038620,5S_rRNA
ENSGALG00000013063,SRD5A1
ENSGALG00000009253,SDE2
ENSGALG00000045875,PSCA
ENSGALG00000025630,U6
ENSGALG00000014942,NSA2
ENSGALG00000038383,5S_rRNA
ENSGALG00000009925,MTA3
ENSGALG00000042968,5S_rRNA
ENSGALG00000017952,U6
ENSGALG00000026117,gga-mir-6596
ENSGALG00000026001,C9orf85
ENSGALG00000025618,5S_rRNA
ENSGALG00000025515,gga-mir-1582
ENSGALG00000008115,ATXN7L1
ENSGALG00000025589,U6
ENSGALG00000025323,gga-mir-1748
ENSGALG00000012538,NR4A2
ENSGALG00000017900,U6
ENSGALG00000032423,gga-mir-217
ENSGALG00000002588,PPARD
ENSGALG00000004948,GLA
ENSGALG00000011797,MTHFD1
ENSGALG00000017789,5S_rRNA
ENSGALG00000026261,gga-mir-6598
ENSGALG00000010435,RASGRP3
ENSGALG00000025686,U6
ENSGALG00000032003,gga-mir-16-2
ENSGALG00000035836,LDHB
ENSGALG00000009158,CDC42BPA
ENSGALG00000041861,TCTN1
ENSGALG00000015190,GTPBP8
ENSGALG00000025601,5S_rRNA
ENSGALG00000036175,CAPG
ENSGALG00000028725,gga-mir-1766
ENSGALG00000031570,WDR54
ENSGALG00000025785,gga-mir-6706
ENSGALG00000026156,U6
ENSGALG00000012136,MPPED2
ENSGALG00000008399,ANKRD12
ENSGALG00000026711,U6
ENSGALG00000025509,gga-mir-1465
ENSGALG00000011206,KITLG
ENSGALG00000042690,5S_rRNA
ENSGALG00000040836,FAM196A
ENSGALG00000025161,gga-mir-1460
ENSGALG00000008746,MRPL41
ENSGALG00000026630,U6
ENSGALG00000010208,CAPS2
ENSGALG00000017922,U6
ENSGALG00000021786,gga-mir-460b
ENSGALG00000036161,COR7A
ENSGALG00000024497,gga-mir-146c
ENSGALG00000025484,5S_rRNA
ENSGALG00000010026,PPP1CB
ENSGALG00000002282,TMEM200A
ENSGALG00000028643,ANAPC10
ENSGALG00000018339,gga-mir-31
ENSGALG00000025407,U6
ENSGALG00000040979,gga-mir-1668
ENSGALG00000028788,5S_rRNA
ENSGALG00000009496,NAF1
ENSGALG00000025285,gga-mir-1657
ENSGALG00000025663,U6
ENSGALG00000009037,SPTLC3
ENSGALG00000000712,RAB29
ENSGALG00000009758,SLC7A11
ENSGALG00000026007,DOLK
ENSGALG00000018310,gga-mir-29c
ENSGALG00000040681,KCNA6
ENSGALG00000017925,U6
ENSGALG00000031860,ADHFE1
ENSGALG00000000441,KCNA10
ENSGALG00000011855,RHOJ
ENSGALG00000021724,gga-mir-301b
ENSGALG00000027900,5S_rRNA
ENSGALG00000018324,gga-mir-18b
ENSGALG00000017897,U6
ENSGALG00000014250,PHOX2B
ENSGALG00000025951,gga-mir-6650
ENSGALG00000025664,U6
ENSGALG00000040644,C8G
ENSGALG00000020528,INIP
ENSGALG00000018250,gga-mir-20a
ENSGALG00000028621,5S_rRNA
ENSGALG00000012997,DNAH5
ENSGALG00000025191,gga-mir-1650
ENSGALG00000001431,GUCA1A
ENSGALG00000021949,U6
ENSGALG00000012289,SHPRH
ENSGALG00000025647,gga-mir-2126
ENSGALG00000038956,5S_rRNA
ENSGALG00000008460,ZFYVE19
ENSGALG00000041191,gga-mir-15b
ENSGALG00000001080,NR5A1
ENSGALG00000036284,RPGR
ENSGALG00000016273,LGSN
ENSGALG00000025103,SNORA54
ENSGALG00000031862,BCL11B
ENSGALG00000000703,SLC45A3
ENSGALG00000043262,KCNIP3
ENSGALG00000025422,gga-mir-1781
ENSGALG00000044362,PP2D1
ENSGALG00000028950,Six3os1_5
ENSGALG00000023036,FRMPD1
ENSGALG00000029104,gga-mir-1732-3
ENSGALG00000014988,POPDC2
ENSGALG00000007101,ZPR1
ENSGALG00000029897,RPL30
ENSGALG00000026247,HOTAIRM1_2
ENSGALG00000028208,gga-mir-6658
ENSGALG00000007354,CIT
ENSGALG00000025166,SNORD75
ENSGALG00000025186,gga-mir-1572
ENSGALG00000008095,KIF23
ENSGALG00000005774,NKAIN4
ENSGALG00000017814,SNORA18
ENSGALG00000011225,SLC25A47
ENSGALG00000016523,RS1
ENSGALG00000014365,RBPJ
ENSGALG00000025266,gga-mir-1740
ENSGALG00000025086,SNORD50
ENSGALG00000011664,RASSF6
ENSGALG00000028888,gga-mir-6625
ENSGALG00000025598,SNORD50
ENSGALG00000015906,COX7A2
ENSGALG00000008172,ERLEC1
ENSGALG00000024504,gga-mir-15c
ENSGALG00000009448,IFRD1
ENSGALG00000021938,SNORA72
ENSGALG00000036301,KIAA0895
ENSGALG00000025174,gga-mir-1771
ENSGALG00000029448,NUDT18
ENSGALG00000016173,UBASH3A
ENSGALG00000027448,NBR2
ENSGALG00000037850,gga-mir-6619
ENSGALG00000003750,PLCG1
ENSGALG00000000708,NUCKS1
ENSGALG00000038881,gga-mir-6619
ENSGALG00000028497,gga-mir-6664
ENSGALG00000029301,BMP2
ENSGALG00000015603,ZCCHC9
ENSGALG00000038542,SNORA76
ENSGALG00000035019,gga-mir-7448
ENSGALG00000009544,ZCRB1
ENSGALG00000029820,NMRAL1
ENSGALG00000028091,MYF5
ENSGALG00000012802,F13A1
ENSGALG00000017826,SNORA76
ENSGALG00000016185,SLC37A1
ENSGALG00000018245,gga-mir-155
ENSGALG00000027140,MARVELD2
ENSGALG00000036195,SOX2OT_exon3
ENSGALG00000025287,gga-mir-1618
ENSGALG00000026151,CEP250
ENSGALG00000026170,gga-mir-6667
ENSGALG00000024871,SNORD65
ENSGALG00000031117,STK17A
ENSGALG00000025852,gga-mir-6677
ENSGALG00000003594,ANK1
ENSGALG00000027994,SNORD53_SNORD92
ENSGALG00000043915,PYY
ENSGALG00000010708,ICA1
ENSGALG00000025578,gga-mir-1805
ENSGALG00000012591,HNRNPK
ENSGALG00000004986,CERCAM
ENSGALG00000018248,gga-mir-92-1
ENSGALG00000004437,LHFPL2
ENSGALG00000027714,ATG10
ENSGALG00000028735,SNORD53_SNORD92
ENSGALG00000026118,gga-mir-6684
ENSGALG00000027518,gga-mir-6711
ENSGALG00000027915,SNORD53_SNORD92
ENSGALG00000036568,gga-mir-7444
ENSGALG00000015492,PDZK1
ENSGALG00000028763,gga-mir-3537
ENSGALG00000010301,EIF2B2
ENSGALG00000027343,SNORD53_SNORD92
ENSGALG00000021774,gga-mir-499
ENSGALG00000027916,gga-mir-6544
ENSGALG00000040007,IL-17D
ENSGALG00000024621,SNORD72
ENSGALG00000010047,SLC4A1AP
ENSGALG00000025400,gga-mir-1759
ENSGALG00000012865,BRAF
ENSGALG00000026625,gga-mir-6613
ENSGALG00000017868,SNORA19
ENSGALG00000025235,gga-mir-1746
ENSGALG00000025454,gga-mir-1603
ENSGALG00000041273,KIAA0319
ENSGALG00000001504,DDX20
ENSGALG00000025331,SNORA19
ENSGALG00000043133,gga-mir-1564
ENSGALG00000008150,RASAL1
ENSGALG00000011262,KCNH8
ENSGALG00000028760,gga-mir-6652
ENSGALG00000025633,SNORA15
ENSGALG00000036291,gga-mir-216b
ENSGALG00000000397,IPO9
ENSGALG00000018267,gga-mir-146a
ENSGALG00000017068,KL
ENSGALG00000030489,gga-mir-7441
ENSGALG00000027797,ceN69
ENSGALG00000016329,AGPAT5
ENSGALG00000031542,EXT2
ENSGALG00000028640,gga-mir-6555
ENSGALG00000008911,RNF208
ENSGALG00000025215,gga-mir-1756b
ENSGALG00000039315,MARS
ENSGALG00000028802,uc_338
ENSGALG00000042852,gga-mir-1595
ENSGALG00000014698,CASP2
ENSGALG00000001869,LINGO2
ENSGALG00000031130,GGH
ENSGALG00000028323,uc_338
ENSGALG00000025372,gga-mir-1636
ENSGALG00000027556,uc_338
ENSGALG00000014875,HCN1
ENSGALG00000004310,TTYH3
ENSGALG00000025579,gga-mir-1716
ENSGALG00000008014,CEBPB
ENSGALG00000036504,C14orf39
ENSGALG00000029989,gga-mir-301a
ENSGALG00000028930,uc_338
ENSGALG00000028798,gga-mir-6578
ENSGALG00000007667,GPR158
ENSGALG00000028187,FUNDC1
ENSGALG00000027586,uc_338
ENSGALG00000017172,VMO1
ENSGALG00000027044,uc_338
ENSGALG00000018242,gga-mir-99a
ENSGALG00000035478,FAM91A1
ENSGALG00000027455,uc_338
ENSGALG00000025383,gga-mir-1699
ENSGALG00000031243,ABCB8
ENSGALG00000015489,FAXC
ENSGALG00000026196,uc_338
ENSGALG00000007972,TRPC5
ENSGALG00000025554,gga-mir-1580
ENSGALG00000025328,gga-mir-1601
ENSGALG00000016098,EXOC6B
ENSGALG00000004133,SRSF10
ENSGALG00000028860,uc_338
ENSGALG00000030102,gga-mir-7438
ENSGALG00000025849,uc_338
ENSGALG00000033526,gga-mir-454
ENSGALG00000003318,SNRNP35
ENSGALG00000025355,SNORA5
ENSGALG00000033220,gga-mir-223
ENSGALG00000027981,AASDHPPT
ENSGALG00000025361,SNORA5
ENSGALG00000018265,gga-let-7f
ENSGALG00000014567,PHB2
ENSGALG00000003349,PLEKHA2
ENSGALG00000034406,gga-mir-3528
ENSGALG00000017836,SNORA5
ENSGALG00000037480,ENSA
ENSGALG00000000504,ETV7
ENSGALG00000025260,gga-mir-1764
ENSGALG00000026888,SNORA5
ENSGALG00000038260,PTCD2
ENSGALG00000029528,KIRREL1
ENSGALG00000025150,gga-mir-1702
ENSGALG00000025527,SNORD79
ENSGALG00000012311,UBE2D3
ENSGALG00000007579,APBB1IP
ENSGALG00000010108,C4orf33
ENSGALG00000025513,gga-mir-1598
ENSGALG00000027949,SNORD87
ENSGALG00000019178,PRDM15
ENSGALG00000018268,gga-mir-103-1
ENSGALG00000001605,PPM1J
ENSGALG00000028316,SNORD87
ENSGALG00000006703,GTPBP4
ENSGALG00000025434,gga-mir-1790
ENSGALG00000025616,SCARNA24
ENSGALG00000036151,gga-mir-3538
ENSGALG00000012392,IYD
ENSGALG00000016899,DCT
ENSGALG00000031146,U2
ENSGALG00000027056,ETFBKMT
ENSGALG00000018287,gga-mir-133a-1
ENSGALG00000026901,gga-mir-6606
ENSGALG00000016467,SMC6
ENSGALG00000031907,U2
ENSGALG00000033069,TFPT
ENSGALG00000028980,gga-mir-6590
ENSGALG00000037805,RPS19
ENSGALG00000025452,gga-mir-1786
ENSGALG00000041793,U2
ENSGALG00000025374,gga-mir-1329
ENSGALG00000041404,SALL3
ENSGALG00000010646,STOX2
ENSGALG00000027813,gga-mir-6714
ENSGALG00000022955,VAMP1
ENSGALG00000035981,Gnot1
ENSGALG00000032505,U2
ENSGALG00000036678,ETV4
ENSGALG00000021798,gga-mir-460a
ENSGALG00000002813,RPS10-NUDT3
ENSGALG00000041368,U2
ENSGALG00000021731,gga-mir-365b
ENSGALG00000016259,DYNLT3
ENSGALG00000033625,U2
ENSGALG00000001968,SYT6
ENSGALG00000028818,gga-mir-6641
ENSGALG00000035380,U2
ENSGALG00000036616,NUAK2
ENSGALG00000025263,gga-mir-1776
ENSGALG00000004491,DMGDH
ENSGALG00000041678,U2
ENSGALG00000025650,RNaseP_nuc
ENSGALG00000000255,MAN2A1
ENSGALG00000003213,LGALS2
ENSGALG00000028746,gga-mir-1467-1
ENSGALG00000006203,C20orf96
ENSGALG00000043543,U2
ENSGALG00000029586,RNF141
ENSGALG00000037037,Hammerhead_HH9
ENSGALG00000002802,PACSIN1
ENSGALG00000021776,gga-mir-302d
ENSGALG00000017849,SNORD14
ENSGALG00000017135,CRYL1
ENSGALG00000016562,ASB11
ENSGALG00000018261,gga-mir-140
ENSGALG00000028279,SNORD14
ENSGALG00000027967,gga-mir-6630
ENSGALG00000025271,gga-mir-1306
ENSGALG00000001542,MRPL20
ENSGALG00000028661,SNORD14
ENSGALG00000040909,WRN
ENSGALG00000021728,gga-mir-455
ENSGALG00000025506,gga-mir-1744
ENSGALG00000041203,CRMP1A
ENSGALG00000001420,RALGAPB
ENSGALG00000029691,NFKBIB
ENSGALG00000025889,RMST_6
ENSGALG00000028216,gga-mir-6659
ENSGALG00000025216,gga-mir-1645
ENSGALG00000030683,SNORD22
ENSGALG00000005700,GID8
ENSGALG00000011476,SEPT11
ENSGALG00000016191,PKNOX1
ENSGALG00000025295,gga-mir-1576
ENSGALG00000025478,gga-mir-1765
ENSGALG00000016661,BLK
ENSGALG00000017874,SNORD38
ENSGALG00000018237,gga-let-7i
ENSGALG00000037629,TRANK1
ENSGALG00000016560,SELENOI
ENSGALG00000003733,LIFR
ENSGALG00000024492,gga-mir-183
ENSGALG00000024758,SNORD38
ENSGALG00000033417,SSPO
ENSGALG00000013793,CLOCK
ENSGALG00000027410,gga-mir-6597
ENSGALG00000017857,SNORA69
ENSGALG00000040741,DNM2
ENSGALG00000025444,gga-mir-1652
ENSGALG00000027197,gga-mir-6552
ENSGALG00000002631,LRRC75A
ENSGALG00000008193,RELN
ENSGALG00000009642,AVEN
ENSGALG00000028875,HOXA11-AS1_4
ENSGALG00000036129,gga-mir-196-3
ENSGALG00000025211,gga-mir-1589
ENSGALG00000028010,gga-mir-6694
ENSGALG00000025170,gga-mir-1466
ENSGALG00000033034,SLC25A34
ENSGALG00000025219,gga-mir-1452
ENSGALG00000016062,PSMG1
ENSGALG00000027032,gga-mir-6705
ENSGALG00000015876,ELOVL4
ENSGALG00000009450,DUSP10
ENSGALG00000025586,gga-mir-2128
ENSGALG00000025350,gga-mir-1779
ENSGALG00000015082,RPS6
ENSGALG00000008757,CNRIP1
ENSGALG00000006119,SAXO2
ENSGALG00000009413,BROX
ENSGALG00000026743,gga-mir-6644-2
ENSGALG00000015768,ANKRD6
ENSGALG00000029494,BGLAP
ENSGALG00000023749,DARS2
ENSGALG00000028958,NOL9
ENSGALG00000002105,FOXI1
ENSGALG00000036796,HYLS1
ENSGALG00000021733,gga-mir-21
ENSGALG00000033143,ABHD1
ENSGALG00000027310,gga-mir-6672
ENSGALG00000040480,mage
ENSGALG00000005706,HSCB
ENSGALG00000004172,BET1L
ENSGALG00000006836,SNX21
ENSGALG00000001181,KCNJ5
ENSGALG00000015528,JAKMIP1
ENSGALG00000003285,CDHR2
ENSGALG00000039756,NKAIN2
ENSGALG00000027314,SAXO1
ENSGALG00000000164,MYBPH
ENSGALG00000015377,PHLDB2
ENSGALG00000001097,WNT9B
ENSGALG00000031301,TULP1
ENSGALG00000005893,ZFAND4
ENSGALG00000034258,C25H1ORF43
ENSGALG00000000606,ARL8A
ENSGALG00000017036,LHFPL6
ENSGALG00000010668,WWC2
ENSGALG00000012126,CFI
ENSGALG00000015874,TTK
ENSGALG00000002830,NUDT3
ENSGALG00000006583,LSP1
ENSGALG00000015057,DDO
ENSGALG00000011902,TAGLN
ENSGALG00000038026,AEBP2
ENSGALG00000042890,PIN1
ENSGALG00000015311,RNF38
ENSGALG00000001708,MED1
ENSGALG00000017205,ENDOD1
ENSGALG00000010243,PRDX1
ENSGALG00000015692,POLN
ENSGALG00000005125,LSM14B
ENSGALG00000033996,TMEM220
ENSGALG00000008837,PELI1
ENSGALG00000045092,CCDC112
ENSGALG00000043675,ANTXR2
ENSGALG00000014970,FSTL1
ENSGALG00000041043,ABRA
ENSGALG00000005188,MINDY4
ENSGALG00000007929,DIXDC1
ENSGALG00000042730,STT3A
ENSGALG00000011880,BBS7
ENSGALG00000017190,CEP126
ENSGALG00000015595,GPR78
ENSGALG00000017280,KCNA1
ENSGALG00000029203,TNNT1
ENSGALG00000015221,CCDC181
ENSGALG00000009320,PSEN1
ENSGALG00000035203,MCRS1
ENSGALG00000032468,SNX17
ENSGALG00000035506,FAU
ENSGALG00000011442,TGFBR2
ENSGALG00000041275,SLC25A38
ENSGALG00000025817,NHLH1
ENSGALG00000043035,SHISA2
ENSGALG00000027908,CYP2U1
ENSGALG00000017611,NTMT1
ENSGALG00000034621,KCNIP4
ENSGALG00000004661,SHISA5
ENSGALG00000033695,CYP26A1
ENSGALG00000013703,FAM69C
ENSGALG00000030913,C9orf172
ENSGALG00000019738,FBXO47
ENSGALG00000042463,CCDC142
ENSGALG00000004297,DNAH1
ENSGALG00000017177,MSANTD4
ENSGALG00000030603,ANTXR1
ENSGALG00000026285,FITM2
ENSGALG00000010397,GRID2
ENSGALG00000013940,LNX1
ENSGALG00000011114,COG2
ENSGALG00000030396,HMGA1
ENSGALG00000015181,GAREM1
ENSGALG00000015029,EVC2
ENSGALG00000033196,EIF2B
ENSGALG00000037780,PMEPA1
ENSGALG00000001837,ORAI2
ENSGALG00000005438,PARVA
ENSGALG00000008049,ARL3
ENSGALG00000011626,COX18
ENSGALG00000015598,RASGRF2
ENSGALG00000017133,EEF1AKMT1
ENSGALG00000043002,TOMM6
ENSGALG00000010541,BIRC6
ENSGALG00000032342,MIGA2
ENSGALG00000034262,VPS25
ENSGALG00000020391,SERPINA10
ENSGALG00000009638,ANO6
ENSGALG00000011562,PRKN
ENSGALG00000037094,POU4F2
ENSGALG00000014582,CADM1
ENSGALG00000036833,PAXBP1
ENSGALG00000007370,CLP1
ENSGALG00000028924,S100A16
ENSGALG00000042469,PRKDC
ENSGALG00000038896,ZBTB8A
ENSGALG00000025225,gga-mir-1583
ENSGALG00000008341,FURIN
ENSGALG00000026374,PFDN2
ENSGALG00000001621,CLDN5
ENSGALG00000018239,gga-mir-33-1
ENSGALG00000001434,STOM
ENSGALG00000031493,BAK1
ENSGALG00000004376,KCNJ2
ENSGALG00000041384,SHKBP1
ENSGALG00000011288,DACT2
ENSGALG00000040395,SPATA22
ENSGALG00000042604,ARX
ENSGALG00000035876,gga-mir-7473
ENSGALG00000006186,RAD21L1
ENSGALG00000014756,PPWD1
ENSGALG00000030344,ISYNA1
ENSGALG00000037915,gga-mir-216a
ENSGALG00000040059,C21orf62
ENSGALG00000025213,gga-mir-1709
ENSGALG00000007825,KIAA1841
ENSGALG00000016055,KCNJ15
ENSGALG00000004350,WDR41
ENSGALG00000025450,gga-mir-1685
ENSGALG00000014646,SYT11
ENSGALG00000008442,TENM1
ENSGALG00000038745,LACTB2
ENSGALG00000002763,FRZB
ENSGALG00000026739,gga-mir-6580
ENSGALG00000032385,PFKFB1
ENSGALG00000031115,BKJ
ENSGALG00000033365,ALDH6
ENSGALG00000020793,UBE2E3
ENSGALG00000012273,SOS2
ENSGALG00000018275,gga-mir-181a-2
ENSGALG00000017173,GUCY1A2
ENSGALG00000003699,EBF1
ENSGALG00000025575,gga-mir-1784
ENSGALG00000044427,MZB1
ENSGALG00000010882,G3BP2
ENSGALG00000004849,WSCD2
ENSGALG00000025293,gga-mir-1567
ENSGALG00000032287,ATP2A2
ENSGALG00000042509,NOXRED1
ENSGALG00000027211,PDYN
ENSGALG00000002576,ASL2
ENSGALG00000007720,AIFM3
ENSGALG00000025654,SNORD62
ENSGALG00000026255,gga-mir-6595
ENSGALG00000036944,SNORA63
ENSGALG00000025477,gga-mir-1678
ENSGALG00000041844,DERL2
ENSGALG00000014887,ASF1
ENSGALG00000040172,SNORD77
ENSGALG00000025710,gga-mir-6689
ENSGALG00000002963,PID1
ENSGALG00000028471,CNPY3
ENSGALG00000015372,ATP5I
ENSGALG00000028834,gga-mir-6584
ENSGALG00000003665,PIGS
ENSGALG00000025604,SNORD77
ENSGALG00000004875,PEMT
ENSGALG00000025182,gga-mir-1812
ENSGALG00000017150,ARHGAP20
ENSGALG00000012256,UTRN
ENSGALG00000017811,SNORA27
ENSGALG00000045522,C6orf58
ENSGALG00000007439,PRELID3B
ENSGALG00000041907,CDK5R1
ENSGALG00000025542,gga-mir-1787
ENSGALG00000025585,SCARNA3
ENSGALG00000025396,gga-mir-1756a
ENSGALG00000006978,APOOL
ENSGALG00000033402,SNORD59
ENSGALG00000027389,RGS7BP
ENSGALG00000025342,gga-mir-1640
ENSGALG00000002555,RET
ENSGALG00000025334,gga-mir-1689
ENSGALG00000032585,SNORD59
ENSGALG00000007367,WFIKKN2
ENSGALG00000011419,DUSP4
ENSGALG00000013494,CENPN
ENSGALG00000017871,snosnR60_Z15
ENSGALG00000040912,gga-mir-193a
ENSGALG00000029195,STK32A
ENSGALG00000005904,TMED5
ENSGALG00000033515,STK11IP
ENSGALG00000009837,DTL
ENSGALG00000017872,snosnR60_Z15
ENSGALG00000012006,RTN1
ENSGALG00000029132,gga-mir-6626
ENSGALG00000027255,NRXN3
ENSGALG00000030955,gga-mir-3535
ENSGALG00000024631,SNORD67
ENSGALG00000001239,SLC26A2
ENSGALG00000025559,gga-mir-1677
ENSGALG00000000862,RLF
ENSGALG00000025958,U3
ENSGALG00000026999,SNRPB2
ENSGALG00000039121,PPM1F
ENSGALG00000007493,NSDHL
ENSGALG00000002634,HDAC3
ENSGALG00000003321,RILPL2
ENSGALG00000027959,U3
ENSGALG00000007052,PXK
ENSGALG00000018278,gga-mir-219b
ENSGALG00000026887,U3
ENSGALG00000025248,gga-mir-1782
ENSGALG00000039891,ANP32E
ENSGALG00000034424,PPP1R42
ENSGALG00000025644,U4
ENSGALG00000027129,gga-mir-6676
ENSGALG00000025640,U4
ENSGALG00000045557,MTTPL
ENSGALG00000043405,BNIP3L
ENSGALG00000008182,CHAC2
ENSGALG00000021722,gga-mir-9-1
ENSGALG00000017936,U4
ENSGALG00000017162,NPAT
ENSGALG00000043185,MATN1
ENSGALG00000013225,VAT1L
ENSGALG00000011684,STAP1
ENSGALG00000006461,UBE3C
ENSGALG00000018253,gga-mir-17
ENSGALG00000025929,HOXA5
ENSGALG00000017906,U4
ENSGALG00000006332,RBM17
ENSGALG00000018302,gga-mir-30c-1
ENSGALG00000017907,U4
ENSGALG00000029545,SMAD7B
ENSGALG00000007590,MTMR8
ENSGALG00000018312,gga-mir-205a
ENSGALG00000017822,SNORD16
ENSGALG00000045469,BCAN
ENSGALG00000004594,CD74
ENSGALG00000036687,gga-mir-1630
ENSGALG00000038753,SAR1B
ENSGALG00000028822,RNF152
ENSGALG00000017824,SNORD16
ENSGALG00000028074,gga-mir-3532
